path,uncompressed_bytes,compressed_bytes,zip_method
Access Control & Time Attendance/01.Basic Information05. Solution/Poster_Single Door Access Control Solution_V1.0_EN_202208/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/Poster_Single Door Access Control Solution_V1.0_EN_202208/Poster_Single Door Access Control Solution_V1.0_EN_202208.ai,54778825,54453241,8
Access Control & Time Attendance/01.Basic Information05. Solution/Poster_Single Door Access Control Solution_V1.0_EN_202208/Poster_Single Door Access Control Solution_V1.0_EN_202208.pdf,1360920,1241262,8
Access Control & Time Attendance/01.Basic Information05. Solution/01. Network Access Control Solution by Insider Series (40 doors)/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/01. Network Access Control Solution by Insider Series (40 doors)/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/01. Network Access Control Solution by Insider Series (40 doors)/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208.ai,110566715,110127050,8
Access Control & Time Attendance/01.Basic Information05. Solution/01. Network Access Control Solution by Insider Series (40 doors)/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208.pdf,851920,715791,8
Access Control & Time Attendance/01.Basic Information05. Solution/02. Network Access Control Solution by SmartPSS Lite (64 doors)/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/02. Network Access Control Solution by SmartPSS Lite (64 doors)/Poster_Multi-door Network Access Control Solution-01_V1.0_EN_202208/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/02. Network Access Control Solution by SmartPSS Lite (64 doors)/Poster_Multi-door Network Access Control Solution-01_V1.0_EN_202208/Poster_Multi-door Network Access Control Solution-01_V1.0_EN_Outline_202208.ai,230741764,230136528,8
Access Control & Time Attendance/01.Basic Information05. Solution/02. Network Access Control Solution by SmartPSS Lite (64 doors)/Poster_Multi-door Network Access Control Solution-01_V1.0_EN_202208/Poster_Multi-door Network Access Control Solution-01_V1.0_EN_202208.pdf,1729358,1554549,8
Access Control & Time Attendance/01.Basic Information05. Solution/02. Network Access Control Solution by SmartPSS Lite (64 doors)/Poster_Multi-door Network Access Control Solution-01_V1.0_EN_202208/Poster_Multi-door Network Access Control Solution-01_V1.0_EN_202208.ai,228322150,227719967,8
Access Control & Time Attendance/01.Basic Information05. Solution/04. Network Time Attendance Solution/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/04. Network Time Attendance Solution/Poster_Dahua Time Attendance Solution_V1.0_EN_202302/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/04. Network Time Attendance Solution/Poster_Dahua Time Attendance Solution_V1.0_EN_202302/Poster_Dahua Time Attendance Solution_V1.0_EN_202302_Outline.ai,301710169,298910513,8
Access Control & Time Attendance/01.Basic Information05. Solution/04. Network Time Attendance Solution/Poster_Dahua Time Attendance Solution_V1.0_EN_202302/Poster_Dahua Time Attendance Solution_V1.0_EN_202302.ai,300310430,298767737,8
Access Control & Time Attendance/01.Basic Information05. Solution/04. Network Time Attendance Solution/Poster_Dahua Time Attendance Solution_V1.0_EN_202302/Poster_Dahua Time Attendance Solution_V1.0_EN_202302.pdf,2288935,2151225,8
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/,0,0,0
