part_no,internal_model,external_model
1.0.01.04.37359-9001,DH-IPC-MFW7442K1P-Z-0856-T40-0360B,DH-IPC-MFW7442K1-Z7-T40
1.0.01.04.39608-9001,DH-IPC-MFW7449YP-Z-0856-T44-0832,DH-IPC-MFW7449Y-Z7-T44
1.0.01.04.39610-9001,DH-IPC-MFW7449YP-Z-0856-T8A-0360B,DH-IPC-MFW7449Y-Z7-T8A
1.0.01.04.39609-9001,DH-IPC-MFW7849YP-Z-2080-T44-0832,DH-IPC-MFW7849Y-Z4-T44
1.0.01.04.39611-9001,DH-IPC-MFW7849YP-Z-2080-T8A-0360B,DH-IPC-MFW7849Y-Z4-T8A
1.0.01.04.47690-9901,DH-IPC-MFW7459K2P-Z-0832-T40-0360B,DH-IPC-MFW7459K2-Z4-T40
1.0.01.04.47690,DH-IPC-MFW7459K2P-Z-0832-T40-0360B,DH-IPC-MFW7459K2-Z4-T40
1.0.01.04.47691-9901,DH-IPC-MFW7459K2P-Z-0856-T40-0360B,DH-IPC-MFW7459K2-Z7-T40
1.0.01.04.47691,DH-IPC-MFW7459K2P-Z-0856-T40-0360B,DH-IPC-MFW7459K2-Z7-T40
1.0.01.04.47281-9001,DH-IPC-HFW7459Z1P-Z-PV-2712-X,DH-IPC-HFW7459Z1-Z-PV-X
1.0.01.04.47469-9001,DH-IPC-HFW7459Z1P-Z-PV-2712-X-Black,DH-IPC-HFW7459Z1-Z-PV-X-Black
1.0.01.04.47282-9001,DH-IPC-HFW7459Z1P-Z-PV-0832-X,DH-IPC-HFW7459Z1-Z4-PV-X
1.0.01.04.47470-9001,DH-IPC-HFW7459Z1P-Z-PV-0832-X-Black,DH-IPC-HFW7459Z1-Z4-PV-X-Black
1.0.01.04.47642-9002,DH-IPC-HFW7459Z1P-Z-PV-0832-X-ATC,DH-IPC-HFW7459Z1-Z4-PV-X-ATC
1.0.01.04.47283-9001,DH-IPC-HFW7459Z1P-Z-PV-0880-X,DH-IPC-HFW7459Z1-Z10-PV-X
1.0.01.04.47471-9001,DH-IPC-HFW7459Z1P-Z-PV-0880-X-Black,DH-IPC-HFW7459Z1-Z10-PV-X-Black
1.0.01.04.47641-9001,DH-IPC-HFW7459Z1P-Z-PV-2712-X-ATC,DH-IPC-HFW7459Z1-Z-PV-X-ATC
