path,uncompressed_bytes,compressed_bytes,zip_method
Wireless Cameras/01. Basic Information05. MTBF/20230411_DH3.RD007232_IPC_DH-IPC-HFW1239DT-4G-ST-IL-EU-B_MTBF报告.pdf,165977,157835,8
Wireless Cameras/01. Basic Information05. MTBF/20220920_DH3.RD006494_大华海外400万WiFi路灯相机项目_DH-IPC-WL46AP-0280B_MTBF报告.pdf,75016,69432,8
Wireless Cameras/01. Basic Information05. MTBF/20250121_DH3.RD009931_IPC_DH-F5D-PV_MTBF Report.pdf,147103,138585,8
Wireless Cameras/01. Basic Information05. MTBF/20241225_DH3.RD009921_IPC_DH-IPC-HFW1339DTK1-SW-PV_MTBF Report.pdf,147060,138640,8
Wireless Cameras/01. Basic Information05. MTBF/20241225_DH3.RD009921_IPC_DH-IPC-HFW1339DTK1-SAW-IL_MTBF Report.pdf,147061,138636,8
Wireless Cameras/01. Basic Information05. MTBF/20240318_DH3.RD008807_TPC_DH-SD2A500NB-GNY-A-PV_MTBF报告.pdf,146486,137846,8
Wireless Cameras/01. Basic Information05. MTBF/20240318_DH3.RD008807_TPC_DH-SD2A300NB-GNY-A-PV_MTBF报告.pdf,146479,137846,8
Wireless Cameras/01. Basic Information05. MTBF/20240318_DH3.RD008807_TPC_DH-P3AE-PV_MTBF报告.pdf,146399,137782,8
Wireless Cameras/01. Basic Information05. MTBF/20240318_DH3.RD008807_TPC_DH-P5AE-PV_MTBF报告.pdf,146396,137776,8
Wireless Cameras/01. Basic Information05. MTBF/20250103_DH3.RD009927_IPC_DH-IPC-HDW1539DA-SW-PV_MTBF Report.pdf,146563,137896,8
Wireless Cameras/01. Basic Information05. MTBF/20250121_DH3.RD010048_IPC_DH-P5AS-PV_MTBF Report.pdf,147326,138824,8
Wireless Cameras/01. Basic InformationOthers/,0,0,0
Wireless Cameras/01. Basic InformationOthers/低功耗续航计算20260521.xlsx,147326,138824,8
Wireless Cameras/01. Basic InformationOthers/Low Power Consumption Camera Endurance Time Calculation.xlsx,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/H3JE/,0,0,0
Wireless Cameras/01. Basic InformationOthers/H3JE/Detail Page_Dahua Hero H3JE_V1.0_EN_202606.ai,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/PureVioce KV/,0,0,0
Wireless Cameras/01. Basic InformationOthers/PureVioce KV/PureVioce-KV-横版.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/PureVioce KV/PureVioce KV-横版.psd,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/,0,0,0
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/,0,0,0
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/11.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/12.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/10.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/1.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/2.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/3.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/4.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/5.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/6.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/7.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/8.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/BP6X/Social Media Poster/9.png,46351,34996,8
Wireless Cameras/01. Basic InformationOthers/MSDS（Material Safety Data Sheet）/,0,0,0
Wireless Cameras/01. Basic InformationOthers/MSDS（Material Safety Data Sheet）/SDS052磷酸铁锂圆柱锂电2024.pdf,315295,305773,8
Wireless Cameras/01. Basic InformationOthers/MSDS（Material Safety Data Sheet）/SDS051磷酸铁锂圆柱锂电2024-宽温.pdf,350669,330052,8
Wireless Cameras/01. Basic InformationOthers/FAQs/,0,0,0
Wireless Cameras/01. Basic InformationOthers/FAQs/FAQ_4G IPC设备使用指南_V2.0_CHN_20241213.xlsx,2773421,2699560,8
Wireless Cameras/01. Basic InformationOthers/FAQs/FAQ_4G IPC Devices User Manual_V2.0_EN_202412.xlsx,5540491,4861137,8
Wireless Cameras/01. Basic InformationOthers/FAQs/Wireless Camera FAQ V1.0_20260115.docx,5540491,4861137,8
Wireless Cameras/03. CompetitionCompetitor Product Mapping/,0,0,0
Wireless Cameras/03. CompetitionCompetitor Product Mapping/Dahua Wireless products competition_202510.xlsm,5540491,4861137,8
Wireless Cameras/03. CompetitionCompetitor Product Mapping/Competitor Product Mapping-2026Q2.xlsx,5540491,4861137,8
Wireless Cameras/03. CompetitionCompetitor Product Mapping/Withs产品竞争分析-26Q3.pptx,5540491,4861137,8
Wireless Cameras/03. CompetitionCompetitor Product Mapping/OLD/,0,0,0
Wireless Cameras/03. CompetitionCompetitor Product Mapping/OLD/Wifi Product Comparison Table_20240429.xlsx,5360640,5256323,8
Wireless Cameras/03. CompetitionCompetitor Product Mapping/OLD/Dahua Wireless products competition_202409.xlsm,5037902,4931159,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/,0,0,0
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_IMOU[T4AD]_室内双目云台_V1.0_20231205.pptx,11474359,11227134,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_IMOU[TS7]_室外单目云台_V1.0_20231205.pptx,10704943,10350699,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_Tapo[C520ws]-IMOU[Cruiser 2]-EZVIZ[H8 pro]_室外单目云台_V1.0_20231205.pptx,180767791,180525790,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_IMOU[Ranger RC]_室内单目云台_V1.0_20231205.pptx,37765155,36265913,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/eufy无线产品分析_20240108 崔璨.pptx,177771773,177625117,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_EZVIZ[CB3]_室外电池枪(配太阳能板)_V1.0_20240109.pptx,32441841,30786967,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_IMOU[K1X]_室内卡片机_V1.0_20240109.pptx,126219550,124482124,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_TPLINK[TL-IPC44B]_室内电池云台_V1.0_20240109.pptx,61977295,60938596,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_XiaoMi[Mi 360° Home Security Camera 2K Pro]_室内云台_V1.0_20240109.pptx,14117330,13905725,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/无线产品竞争优势-V1.0-20240708.pptx,94369041,93841783,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告萤石wifiC7室内双摄.pptx,10895902,10718317,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告 _Eufycam 3C_室内外电池方型相机_V1.0_202412.pptx,10895902,10718317,8
Wireless Cameras/03. CompetitionCompetitor Product Experience Report/竞品体验报告_萤石4G灯座款相机_202501.pptx,10895902,10718317,8
