Category,Model,P/N,Description,Specification,Product
,DHI-IVS-VQ8000-1000-PRO,2.9.01.10.10100,DAHUA ovesea Video Quality Diagnosis pure software （1000 channel video stream）,Video Quality Diagnosis 1000 channel authorization（Only use when pure software deployment）,
,DHI-IVS-VQ8000-5000-PRO,2.9.01.10.10101,DAHUA ovesea Video Quality Diagnosis pure software （5000 channel video stream）,Video Quality Diagnosis 5000 channel authorization（Only use when pure software deployment）,
,DHI-IVS-VQ8000-10000-PRO,2.9.01.10.10102,DAHUA ovesea Video Quality Diagnosis pure software （10000 channel video stream）,Video Quality Diagnosis 10000 channel authorization（Only use when pure software deployment）,
Intelligent Analysis Card,NVIDIA GPU卡-TESLA T4,1.0.01.18.10681,DAHUA ovesea Intelligent Analysis Card,Memory 16GB | 8.1 tflops / single precision | 65TFLOPS/FP16 | 130TOPS/INT8 | 300GB/s | x16 PCIe Gen3.0,
,DHI-AIX3200,1.0.01.18.10651,DAHUA ovesea Intelligent Analysis Card,Power 67W | Memory 32GB | 204.8GByte/s,
CV Engine （For algorithm management）,DHI-IVE-DP8000-GU2-HW,1.0.01.18.10760,Dahua ovesea CV Engine server,One project with one set,
,DHI-IVE-DP8000-1C-PRO,2.9.02.10.11088,Dahua ovesea CV Engine software,Number of software = number of access,
,,,,,
,,,,,
,,,,,
,,,,,
